OFFER,RETAILER,BRAND,MOST_SIMILAR_CATEGORY
Spend $50 on a Full-Priced new Club Membership,SAMS CLUB,SAMS CLUB,
"Beyond Meat® Plant-Based products, spend $25",,BEYOND MEAT,Plant-Based Meat
Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,Frozen Desserts
"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,Nut Butters & Jam
"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,Sports Drinks
Emmy's Organics® Cookies OR Brownie Snaps,,EMMYS POP UP,Cookies
"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,Carbonated Soft Drinks
"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,ARNOLD BROWNBERRY OROWEAT,Bread
Barilla® Pesto Sauce,,BARILLA,Pesto Sauce
"Any General Mills™ products, buy 2
Good Rewards Members Only",,ANNIES HOMEGROWN GROCERY,"Cereal, Granola, & Toaster Pastries"
Egglife Egg White Wraps at Aldi,ALDI,EGGLIFE,Eggs
Spend $20 at Zaxby's,ZAXBYS,ZAXBYS,
Spend $10 at Subway,SUBWAY,SUBWAY,Cooking & Baking
"DOVE® Chocolate, select sizes, buy 1",,DOVE CHOCOLATE,Candy
Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,HELLMANNS BEST FOODS,Condiments
"M&M'S®, select sizes, buy 1",,M&MS,Candy
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,GATORADE,Sports Drinks
"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,Plant-Based Meat
Red Gold Tomato Ketchup,,RED GOLD,Condiments
Gillette Venus ® for Pubic Hair & Skin spend $20,,GILLETTE VENUS,Hair Removal
Spend $140 at Shaws,SHAWS,SHAWS,Cooking & Baking
"L'Oréal Paris Hair color, select varieties, spend $19 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care
Simply Spiked™ Lemonade 12 pack+,,SIMPLY SPIKED,"Hard Seltzers, Sodas, Waters, Lemonades & Teas"
"Gorton's, at select retailers",SHOP RITE,GORTONS,Frozen Meals
Shop 2 times at ACME,ACME,ACME,Medicines & Treatments
